Name_email,Local Body,Local Body Type,LSG Code,Block,Assembly,District,District Panchayat,wikidata link,Name_std_ml,wikidata-kml,Local Body Full_ml,വെബ്സൈറ്റ്‌,Assembly(s)
byson-valley,BysonValley,GP,G060103,adimaly,Devikulam,Idukki,Idukki,Q13113683,ബൈസണ്‍-വാലി,Q13113683,ബൈസണ്‍ വാലി ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/bysonvalleypanchayat,ദേവികുളം
chadayamangalam,chadayamangalam,GP,G021103,chadayamangalam,Chadayamangalam,Kollam,Kollam,Q20578340,ചടയമംഗലം,Q20578340,ചടയമംഗലം ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/chadayamangalampanchayat,ചടയമംഗലം
chakkittapara,chakkittapara,GP,G110607,perambra,Perambra,Kozhikode,Kozhikode,Q20578300,ചക്കിട്ടപ്പാറ,Q20578300,ചക്കിട്ടപ്പാറ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/chakkittaparapanchayat,പേരാംബ്ര
chakkupallam,chakkupallam,GP,G060607,kattappana,Peerumade,Idukki,Idukki,Q13111864,ചക്കുപള്ളം,Q13111864,ചക്കുപള്ളം ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/chakkupallampanchayat,പീരുമേട്
chalakudy,chalakudy,Municipality,M080400,NA,Chalakudy,Thrissur,NA,Q13111918,ചാലക്കുടി,Q13111918,ചാലക്കുടി മുനിസിപ്പാലിറ്റി,chalakudymunicipality.lsgkerala.gov.in,ചാലക്കുടി
chalavara,chalavara,GP,G090303,ottapalam,Shoranur,Palakkad,Palakkad,Q5068584,ചളവറ,Q5068584,ചളവറ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/chalavarapanchayat,ഷൊര്‍ണ്ണൂര്‍
chalissery,chalissery,GP,G090102,trithala,Thrithala,Palakkad,Palakkad,Q13111922,ചാലിശ്ശേരി,Q13111922,ചാലിശ്ശേരി ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/chalisserypanchayat,തൃത്താല
chaliyar,chaliyar,GP,G100101,nilambur,Eranad,Malappuram,Malappuram,Q13111919,ചാലിയാര്‍,Q13111919,ചാലിയാര്‍ ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/chaliyarpanchayat,ഏറനാട്
champakulam,champakulam,GP,G040605,chambakkulam,Kuttanad,Alappuzha,Alappuzha,Q13111884,ചമ്പക്കുളം,Q13111884,ചമ്പക്കുളം ഗ്രാമ പഞ്ചായത്ത്,panchayat.lsgkerala.gov.in/champakulampanchayat,കുട്ടനാട്
changanassery,changanassery,Municipality,M050300,NA,Changanassery,Kottayam,NA,Q65666408,ചങ്ങനാശ്ശേരി,Q65666408,ചങ്ങനാശ്ശേരി മുനിസിപ്പാലിറ്റി,changanasserymunicipality.lsgkerala.gov.in,ചങ്ങനാശ്ശേരി
